data,Modulo,Idade,Altura,Peso,Imc
04/04/2023,3,19,1.76,75,24
04/04/2023,3,23,1.92,69,19
04/04/2023,3,43,1.70,85,29
04/04/2023,3,21,1.75,79,26
04/04/2023,2,28,1.70,65,22
04/04/2023,5,26,1.74,64,21
04/04/2023,3,21,1.60,67,26
04/04/2023,2,33,1.71,72,25
04/04/2023,2,31,1.65,80,29
04/04/2023,3,27,1.73,70,23
04/04/2023,3,21,1.78,67,21
04/04/2023,3,22,1.80,57,18
04/04/2023,5,23,1.70,70,24
04/04/2023,5,30,1.78,95,30
04/04/2023,5,30,1.72,60,20
05/04/2023,2,22,1.80,68,21
06/04/2023,5,23,1.68,62,22
06/04/2023,5,22,1.72,60,20
06/04/2023,5,26,1.73,90,30
07/04/2023,3,26,1.80,115,35
09/04/2023,5,27,1.66,77,28
11/04/2023,1,39,1.71,67.5,23
11/04/2023,1,34,1.77,75,24
11/04/2023,1,18,1.77,72,23
11/04/2023,3,28,1.66,73,26
11/04/2023,3,30,1.74,75,25
11/04/2023,3,26,1.65,62,23
11/04/2023,3,22,1.83,75,22
11/04/2023,1,31,1.70,80,28
11/04/2023,1,19,1.76,60,19
11/04/2023,1,25,1.78,75,24
11/04/2023,1,26,1.75,72.5,24
11/04/2023,1,32,1.75,95,31
11/04/2023,1,23,1.75,58,19
11/04/2023,1,28,1.65,75,28
11/04/2023,1,25,1.75,60,20
11/04/2023,1,19,1.72,71,24
11/04/2023,4,34,1.92,90,24
11/04/2023,4,33,1.62,77,29
11/04/2023,1,17,1.73,88,29
12/04/2023,4,32,1.86,87,25
12/04/2023,3,24,1.75,98,32
12/04/2023,5,43,1.81,140,43
12/04/2023,4,21,1.79,60,19
12/04/2023,1,25,1.80,72,22
12/04/2023,1,19,1.73,96,32
12/04/2023,5,19,1.78,90,28
12/04/2023,1,19,1.80,60,19
12/04/2023,1,31,1.83,120,36
12/04/2023,1,20,1.65,64,24
12/04/2023,1,19,1.90,74,20
12/04/2023,1,23,1.73,70,23
12/04/2023,1,18,2.0,90,23
12/04/2023,1,31,1.75,78,25
12/04/2023,1,22,1.92,116,31
12/04/2023,1,32,1.66,65,24
12/04/2023,1,20,1.75,66,22
12/04/2023,1,18,1.74,80,26
12/04/2023,1,33,1.76,65,21
12/04/2023,1,47,1.63,51,19
12/04/2023,1,21,1.75,75,24
13/04/2023,2,33,1.81,94,29
13/04/2023,2,34,1.87,110,31
13/04/2023,2,19,1.70,75,26
13/04/2023,2,30,1.84,90,27
13/04/2023,2,42,1.78,100,32
13/04/2023,2,26,1.79,72.5,23
13/04/2023,1,21,1.72,56,19
13/04/2023,1,34,1.75,69,23
13/04/2023,5,29,1.81,101,31
13/04/2023,5,21,1.90,110,30
13/04/2023,2,19,1.75,67,22
13/04/2023,5,26,1.81,125,38
13/04/2023,2,27,1.77,76,24
13/04/2023,2,25,1.60,60,23
13/04/2023,2,40,1.74,78,26
13/04/2023,2,23,1.70,80,28
14/04/2023,4,21,1.83,110,33
14/04/2023,4,26,1.87,68,19
14/04/2023,4,26,1.82,100,30
14/04/2023,4,27,1.82,90,27
15/04/2023,4,20,1.75,80,26
15/04/2023,3,33,1.72,80,27